New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I1842	PHI:1866	I1S5J4	GzZC181	FGSG_12115	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0006351: transcription, DNA-templated [GO:0006351]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1843	PHI:1867	I1RL02	GzZC182	FGSG_04576	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1844	PHI:1868	I1RKR4	GzZC183	FGSG_04480	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type;Sexual Spores:Defective													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1845	PHI:1869	I1RDY4	GzZC184	FGSG_01853	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1846	PHI:1870	I1RDS9	GzZC185	FGSG_01795	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1847	PHI:1871	I1RTX0	GzZC186	FGSG_07638	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000006:lethal														ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1848	PHI:1872	I1RTU2	GzZC187	FGSG_07609	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000006:lethal														ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1849	PHI:1873	I1RTT8	GzZC188	FGSG_07604	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1850	PHI:1874	I1RTS5	GzZC189	FGSG_07591	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1851	PHI:1875	I1RTS3	GzZC190	FGSG_07589	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1852	PHI:1876	I1RD28	GzZC191	FGSG_01515	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1853	PHI:1877	I1RPI7	GzZC192	FGSG_05958	Uncharacterized protein	DS231665	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1854	PHI:1878	I1RPF6	GzZC193	FGSG_05925	Uncharacterized protein	DS231665	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1855	PHI:1879	I1RJB8	GzZC194	FGSG_03929	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1856	PHI:1880	I1RJB0	GzZC195	FGSG_03919	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1857	PHI:1881	I1RJA3	GzZC196	FGSG_03912	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1858	PHI:1882	I1RJ84	GzZC197	FGSG_03892	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1859	PHI:1883	I1RJ71	GzZC198	FGSG_03878	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1860	PHI:1884	I1RJ58	GzZC199	FGSG_03861	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1861	PHI:1885	I1RJ54	GzZC200	FGSG_03857	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1862	PHI:1886	I1RU19	GzZC201	FGSG_07693	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1863	PHI:1887	I1RHZ6	GzZC202	FGSG_03415	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1864	PHI:1888	I1RHY2	GzZC203	FGSG_03399	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1865	PHI:1889	I1RHX4	GzZC204	FGSG_03390	Uncharacterized protein	DS231664	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1866	PHI:1890	I1RTH7	GzZC205	FGSG_07482	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1867	PHI:1891	I1RRM0	GzZC206	FGSG_06750	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0003677:DNA binding [GO:0003677]; GO:0005634: nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
PHI:I1868	PHI:1892	I1RRH8	GzZC207	FGSG_06699	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity [GO:0000981]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-04-18
