PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
981	PHI:981	NULL	AAL84247 		ES4326	hopI1			317	Pseudomonas syringae	ES4326	Bacterial leaf spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	11872842; 17350264	PubMed		Pseudomonas syringaepv maculicola
981	PHI:981	NULL	AAL84247 		ES4326	hopI1			317	Pseudomonas syringae	ES4326	Bacterial leaf spot	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	11872842; 17350264	PubMed		Pseudomonas syringaepv maculicola
982	PHI:982	Entrez Protein	AAO54897	PSPTO_1375	DC3000	hopM1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	10781092; 12940984	PubMed		Pseudomonas syringaepv tomato
982	PHI:982	Entrez Protein	AAO54897	PSPTO_1375	DC3000	hopM1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4081	Tomato	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	10781092; 12940984	PubMed		Pseudomonas syringaepv tomato
983	PHI:983	Entrez Protein	AAO54892	PSPTO_1370	DC3000	hopN1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	10781092; 11854524; 15469508	PubMed		Pseudomonas syringaepv tomato
983	PHI:983	Entrez Protein	AAO54892	PSPTO_1370	DC3000	hopN1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)												 	gene deletion; complementation	ML	ML	10781092; 11854524; 15469508	PubMed		Pseudomonas syringaepv tomato
984	PHI:984	Entrez Protein	AAL84260	PSPTO_0877	DC3000	hopQ1-1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	11872842; 16529375	PubMed		Pseudomonas syringaepv tomato
985	PHI:985	Entrez Protein	CAA11940		1302A (race 4)	hopX1			317	Pseudomonas syringae	1302A (race 4)	Halo blight	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	7873779	PubMed		Pseudomonas syringaepv phaseolicola
986	PHI:986	Entrez Protein	AAN52341		M6	hopX1			317	Pseudomonas syringae	M6		Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12622811	PubMed		Pseudomonas syringaepv maculicola
987	PHI:987	Entrez Protein	AAO54894	PSPTO_1372	DC3000	hopAA1-1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12437299	PubMed		Pseudomonas syringaepv tomato
988	PHI:988	Entrez Protein	AAO58156	PSPTO_4718	DC3000	hopAA1-2			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12437299	PubMed		Pseudomonas syringaepv tomato
989	PHI:989	Entrez Protein	AAD47203		1449B (race7)	HopAB1			317	Pseudomonas syringae	1449B (race7)	Halo blight	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10485919	PubMed		Pseudomonas syringaepv phaseolicola
989	PHI:989	Entrez Protein	AAD47203		1449B (race7)	HopAB1			317	Pseudomonas syringae	1449B (race7)	Halo blight	Dicot	3847	soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10485919	PubMed		Pseudomonas syringaepv phaseolicola
990	PHI:990	NULL	AAL71883 	PSPTO_3087	DC3000	HopAB2			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4081	Tomato	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	12062102	PubMed		Pseudomonas syringaepv tomato
991	PHI:991	Entrez Protein	CAA59280		870A	hopAM1			317	Pseudomonas syringae	870A	Bacterial blight	Dicot	3888	Pea	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	7579614	PubMed		Pseudomonas syringaepv pisi
992	PHI:992	Entrez Protein	AAO58160	PSPTO_4722	DC3000	hopAO1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12032338; 12828637; 12828636	PubMed		Pseudomonas syringaepv tomato
992	PHI:992	Entrez Protein	AAO58160	PSPTO_4722	DC3000	hopAO1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12032338; 12828637; 12828636	PubMed		Pseudomonas syringaepv tomato
992	PHI:992	Entrez Protein	AAO58160	PSPTO_4722	DC3000	hopAO1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12032338; 12828637; 12828636	PubMed		Pseudomonas syringaepv tomato
993	PHI:993	Entrez Protein	AAA25727		race 3	hopAR1			317	Pseudomonas syringae	race 3	Halo blight	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	1666524	PubMed		Pseudomonas syringaepv phaseolicola
994	PHI:994	Entrez Protein	AAQ24627		61	hopAX1			317	Pseudomonas syringae	61	Brown spot	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	15000392	PubMed		Pseudomonas syringaepv syringae
994	PHI:994	Entrez Protein	AAQ24627		61	hopAX1			317	Pseudomonas syringae	61	Brown spot	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	15000392	PubMed		Pseudomonas syringaepv syringae
995	PHI:995	Entrez Protein	DAA00391	Psyr_4269	B728A	hopAE1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12615215; 16942603	PubMed		Pseudomonas syringaepv syringae
995	PHI:995	Entrez Protein	DAA00391	Psyr_4269	B728A	hopAE1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	12615215; 16942603	PubMed		Pseudomonas syringaepv syringae
996	PHI:996	Entrez Protein	AAF71492	Psyr_1224	B728A	hopZ3			317	Pseudomonas syringae	B728A	Brown spot	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10781092; 16942603	PubMed		Pseudomonas syringaepv syringae
996	PHI:996	Entrez Protein	AAF71492	Psyr_1224	B728A	hopZ3			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10781092; 16942603	PubMed		Pseudomonas syringaepv syringae
997	PHI:997	Entrez Protein	AAY36237	Psyr_1183	B728A	hopAA1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
997	PHI:997	Entrez Protein	AAY36237	Psyr_1183	B728A	hopAA1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
998	PHI:998	Entrez Protein	AAY36240	Psyr_1186	B728A	hopM1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
998	PHI:998	Entrez Protein	AAY36240	Psyr_1186	B728A	hopM1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
999	PHI:999	Entrez Protein	AAY39686	Psyr_4659	B728A	HopAB1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
999	PHI:999	Entrez Protein	AAY39686	Psyr_4659	B728A	HopAB1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	15828679; 16942603	PubMed		Pseudomonas syringaepv syringae
1000	PHI:1000	Entrez Protein	AAF67149		1449A race 5 & 7	hopF1			317	Pseudomonas syringae	1449A race5 & 7	Halo blight	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10880434	PubMed		Pseudomonas syringaepv phaseolicola
1001	PHI:1001	Entrez Protein	AAC97882		Hi-C-13	Nec1			85558	Streptomyces turgidiscabies	Car8	Potato scab	Dicot	3702	Arabidopsis thaliana	secreted protein				Reduced virulence													gene deletion; complementation	KHK	AC	17555268	PubMed		
1002	PHI:1002	Uniprot	I1RPI4	FG05955	PH-1	GCS1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	Glycosylceramide synthase				Reduced virulence													gene deletion; complementation		MU	17908205		10.1111/j.1365-2958.2007.05955.x	
1002	PHI:1002	Uniprot	I1RPI4	FG05955	PH-1	GCS1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4577	Maize	Glycosylceramide synthase				Reduced virulence													gene deletion; complementation		MU	17908205		10.1111/j.1365-2958.2007.05955.x	
1002	PHI:1002	Uniprot	I1RPI4	FG05955	PH-1	GCS1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	3702	Arabidopsis thaliana	Glycosylceramide synthase				Unaffected pathogenicity													gene deletion; complementation		MU	17908205		10.1111/j.1365-2958.2007.05955.x	
1002	PHI:1002	Uniprot	I1RPI4	FG05955	PH-1	GCS1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	4081	Tomato	Glycosylceramide synthase				Unaffected pathogenicity													gene deletion; complementation		MU	17908205		10.1111/j.1365-2958.2007.05955.x	
1003	PHI:1003	Entrez Gene	FG09903		Hi-C-13	Nec1			85558	Streptomyces turgidiscabies	Car8	Potato scab	Dicot	3726	Raphanus sativus	secreted protein				Reduced virulence													gene deletion; complementation	KHK	AC	17555268	PubMed		
1004	PHI:1004	Uniprot	I1RZQ2	FG09903		STE7			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	MAPKK	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	
1004	PHI:1004	Uniprot	I1RZQ2	FG09903		STE7			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	4081	Tomato	MAPKK	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	
1005	PHI:1005	Uniprot	P0C431	FG09612		FgHOG1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	MAPK	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	Didn’t grow in 1M NaCl
1005	PHI:1005	Uniprot	P0C431	FG09612		FgHOG1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	4081	Tomato	MAPK				Unaffected pathogenicity 													gene disruption; complementation		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	Didn’t grow in 1M NaCl
1006	PHI:1006	Uniprot	I1RXX1	FG09197		HMR1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	HMG-CoA Reductase	GO:0009405, IMP	GO		Reduced virulence													gene deletion; complementation		AB; AC	16377218	Pubmed	10.1016/j.fgb.2005.10.002 	Partial gene deletion
1007	PHI:1007	Uniprot	I1RIV2	FG03747		NPS6			5518	Gibberella zeae (related: Fusarium graminearum)	Gz3639	Fusarium ear blight	Monocot	4564	Wheat	Non-ribosomal peptide synthetase	GO:0009405, IMP	GO		Reduced virulence													gene deletion		AB; AC	17056706	Pubmed	10.1105/tpc.106.045633	Hypersensitivity to H2O2. Increased sensitivity to iron depletion.
1008	PHI:1008	NULL	ABI51982  			NPS6			101162	Cochliobolus miyabeanus	WK-1C	Brown spot	Monocot	4530	Rice	Non-ribosomal peptide synthetase	GO:0009405, IMP	GO		Reduced virulence													gene deletion		AB	17056706	Pubmed		Hypersensitivity to H2O2. Increased sensitivity to iron depletion.
1009	PHI:1009	NULL	ABI51983  			NPS6			29001	Alternaria Brassicicola	Tf383	Black spot	Dicot	3702	Arabidopsis thaliana	Non-ribosomal peptide synthetase	GO:0009405, IMP	GO		Reduced virulence													gene deletion		AB	17056706	Pubmed		Hypersensitivity to H2O2. Increased sensitivity to iron depletion.
1010	PHI:1010	Entrez Nucleotide	XM_385547	FG05371		SID1			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	Siderophore biosynthetic gene	GO:0009405, IMP	GO		Reduced virulence													gene deletion		AB	1464-6722	WoS		
1011	PHI:1011	Uniprot	I1RMG9	FG05159		FET3			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	Ferroxidase				Unaffected pathogenicity 													gene deletion		AB	1464-6722	WoS		Complementation of yeast mutant also
1012	PHI:1012	Uniprot	I1RNF9	FG05535		GzGPA1			5518	Gibberella zeae (related: Fusarium graminearum)	Gz3639	Fusarium ear blight	Monocot	112509	Barley	G protein alpha subunit				Unaffected pathogenicity 							Slightly affected						gene deletion		AB; AC	18227243	Pubmed	10.1099/mic.0.2007/012260-0	Enhanced DON and ZEA production when deleted. Female sterility.
1013	PHI:1013	Uniprot	I1RYZ7	FG09614		GzGPA2			5518	Gibberella zeae (related: Fusarium graminearum)	Gz3639	Fusarium ear blight	Monocot	112509	Barley	G protein alpha subunit	GO:0009405, IMP	GO		Reduced virulence							Slightly affected						gene deletion; complementation		AB; AC	18227243	Pubmed	10.1099/mic.0.2007/012260-0	
1014	PHI:1014	Uniprot	I1RZX9	FG09988		GzGPA3			5518	Gibberella zeae (related: Fusarium graminearum)	Gz3639	Fusarium ear blight	Monocot	112509	Barley	G protein alpha subunit				Unaffected pathogenicity 							Slightly affected						gene deletion		AB; AC	18227243	Pubmed	10.1099/mic.0.2007/012260-0	
1015	PHI:1015	Uniprot	I1RJS2	FG04104		GzGPB1			5518	Gibberella zeae (related: Fusarium graminearum)	Gz3639	Fusarium ear blight	Monocot	112509	Barley	G protein beta subunit	GO:0009405, IMP	GO		Reduced virulence							75% of wild type						gene deletion; complementation		AB; AC	18227243	Pubmed	10.1099/mic.0.2007/012260-0	Enhanced DON and ZEA production when deleted
1016	PHI:1016	Uniprot	FG05484	FG05484		STE11			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Monocot	4564	Wheat	MAPKKK	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	
1016	PHI:1016	Uniprot	FG05484	FG05484		STE11			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	4081	Tomato	MAPKKK	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion		AB; AC	17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	
